Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Species
jun,2018,USA,Paddling,F,57,N,White shark
jun,2018,USA,Standing,F,11,N,
jun,2018,USA,Surfing,M,48,N,
jun,2018,AUSTRALIA,Surfing,M,,N,
jun,2018,MEXICO,Free diving,M,,N,Tiger shark
jun,2018,AUSTRALIA,Kite surfing,M,,N,
jun,2018,BRAZIL,Swimming,M,18,Y,Tiger shark
may,2018,USA,Fishing,M,52,N,Lemon shark
may,2018,USA,Walking,M,15,N,Bull shark
may,2018,USA,Standing,M,12,N,
may,2018,AUSTRALIA,Feeding sharks,M,32,N,reef shark
may,2018,USA,Boogie boarding,M,10,N,
may,2018,USA,Swimming,M,10,N,
may,2018,UK,Fishing,M,21,N,
,2018,AUSTRALIA,Feeding sharks,F,34,N,nurse shark
may,2018,SOUTH AFRICA,Surfing,M,,N,
may,2018,AUSTRALIA,Surfing,M,,N,
apr,2018,THAILAND,Swimming,M,,N,
apr,2018,COSTA RICA,Scuba diving,M,30,N,Tiger shark
apr,2018,AUSTRALIA,Surfing,M,,N,
apr,2018,AUSTRALIA,Surfing,M,,N,
apr,2018,AUSTRALIA,Surfing,M,60,N,
apr,2018,AUSTRALIA,Surfing,M,,N,White shark
apr,2018,MALDIVES,Fishing,M,32,N,Tiger shark
apr,2018,SOUTH AFRICA,Paddle-skiing,M,33,N,White shark
apr,2018,USA,Body boarding,M,29,N,
apr,2018,THAILAND,Swimming,M,54,N,bull shark
apr,2018,BRAZIL,Swimming,M,34,,
apr,2018,AUSTRALIA,Surfing,M,41,N,
apr,2018,AUSTRALIA,Surfing,M,37,N,
apr,2018,BAHAMAS,Surfing,M,,N,Tiger shark
apr,2018,BRAZIL,Fishing,M,56,N,
apr,2018,NEW CALEDONIA,Windsurfing,,,N,
apr,2018,BAHAMAS,Swimming,M,12,N,Bull shark
apr,2018,SOUTH AFRICA,Surfing,M,19,N,White shark
mar,2018,USA,Stand-Up Paddleboarding,M,25,N,Tiger shark
mar,2018,AUSTRALIA,Wading,M,10,N,Wobbegong shark
mar,2018,AUSTRALIA,Swimming,M,69,N,
mar,2018,AUSTRALIA,Surfing,M,18,N,
feb,2018,SOUTH AFRICA,Scuba Diving,M,38,N,Blacktip shark
feb,2018,AUSTRALIA,Swimming,F,55,N,white shark
feb,2018,AUSTRALIA,Kayak fishing for sharks,M,34,N,
feb,2018,AUSTRALIA,Walking,M,35,N,Bull shark
feb,2018,AUSTRALIA,Swimming,F,,N,
feb,2018,BRAZIL,Cleaning fish,F,46,N,
feb,2018,ECUADOR,Snorkeling,M,45,N,Galapagos shark
feb,2018,AUSTRALIA,Spearfishing,M,14,N,
jan,2018,AUSTRALIA,,M,18,N,Bull shark
jan,2018,NEW CALEDONIA,Spearfishing,M,40,N,Bull shark
jan,2018,AUSTRALIA,Diving,M,,N,reef shark
jan,2018,AUSTRALIA,Free diving,M,28,N,White shark
jan,2018,BRAZIL,Surfing,M,20,N,small shark
jan,2018,AUSTRALIA,Surfing,M,,N,Wobbegong shark
dec,2017,USA,Surfing,F,54,N,Tiger shark
dec,2017,USA,Surfing,F,35,N,
dec,2017,MALAYSIA,Fishing / Wading,M,24,N,nurse shark
dec,2017,BAHAMAS,Snorkeling,F,25,N,Nurse shark
nov,2017,COSTA RICA,Scuba Diving,M,26,N,Tiger shark
nov,2017,COSTA RICA,Scuba diving,F,49,Y,Tiger shark
nov,2017,LIBYA,2 boats capsized,,,Y,blue shark
nov,2017,USA,Spearfishing,M,25,N,White shark
nov,2017,USA,Surfing,F,14,N,
nov,2017,,Surfing,M,24,N,
nov,2017,AUSTRALIA,Surfing,M,25,N,
nov,2017,CUBA,Night bathing,M,22,Y,Tiger shark
oct,2017,AUSTRALIA,Snorkeling,M,7,N,Cookiecutter shark
oct,2017,AUSTRALIA,Surfing,M,31,N,Wobbegong shark
oct,2017,USA,Stand-Up Paddleboarding,M,,N,
oct,2017,MAURITIUS,Swimming,M,,N,
oct,2017,USA,Surfing ,M,17,N,
oct,2017,USA,Swimming,F,60,N,
oct,2017,AUSTRALIA,Kayaking / Fishing,F,15,N,White shark
oct,2017,NEW ZEALAND,Kayaking,M,,N,
oct,2017,USA,Swimming,M,,N,Spinner shark
oct,2017,USA,Surfing,M,54,N,Tiger shark
oct,2017,USA,Snorkeling,F,40,N,
oct,2017,SOUTH AFRICA,Scuba Diving,M,31,,
sep,2017,USA,Surfing,M,,N,
sep,2017,AUSTRALIA,Surfing,M,,N,White shark
sep,2017,USA,Surfing,M,33,,
sep,2017,USA,Surfing,M,,N,
sep,2017,USA,Surfing,M,,N,
sep,2017,SPAIN,Body surfing,M,13,N,
sep,2017,USA,Surfing,M,28,N,
sep,2017,SOUTH AFRICA,Scuba Diving,M,25,,
sep,2017,SAMOA,Fishing,M,,N,
,2017,AUSTRALIA,Fishing,,,N,White shark
sep,2017,USA,Surfing,M,18,N,
sep,2017,AUSTRALIA,Swimming,M,,N,
sep,2017,AUSTRALIA,Surfing,M,35,N,White shark
sep,2017,SOLOMON ISLANDS,Spearfishing,M,,N,
sep,2017,SOUTH AFRICA,"Swimming, poaching abalone",M,,Y,
sep,2017,JAPAN,Surfing,M,42,N,
sep,2017,USA,Swimming,M,,N,Nurse shark
sep,2017,USA,Swimming,F,,N,
sep,2017,USA,Surfing,M,17,N,
aug,2017,AUSTRALIA,Surfing,M,37,N,White shark
aug,2017,USA,Wading,F,3,N,
aug,2017,SPAIN,Swimming,F,11,,
aug,2017,NEW ZEALAND,Canoeing,M,,N,
aug,2017,USA,SUP,M,69,N,White shark
aug,2017,BAHAMAS,Spearfishing,M,,N,
aug,2017,USA,Swimming,M,13,N,blacktip shark
aug,2017,EGYPT,Snorkeling,F,20,N,whitetip shark
aug,2017,USA,Fishing,M,34,N,
aug,2017,USA,Kayaking / Fishing,M,,N,White shark
jul,2017,USA,Skimboarding,M,15,N,
jul,2017,USA,Swimming,M,10,,small shark
jul,2017,USA,,F,12,N,
jul,2017,BAHAMAS,Snorkeling,F,,N,
jul,2017,BAHAMAS,Spearfishing,M,,N,
jul,2017,ST HELENA,Surfing,M,37,N,
jul,2017,USA,,F,,N,Sandtiger shark
jul,2017,SPAIN,Swimming,F,,N,Blue shark
jul,2017,USA,,F,40,N,small shark
jul,2017,USA,Swimming,F,8,,
jul,2017,USA,Kayaking,M,40,N,White shark
jul,2017,USA,SUP,M,50,N,White shark
jul,2017,USA,Surfing,M,,N,White shark
jul,2017,AUSTRALIA,Surfing,M,,N,
jul,2017,USA,Kayaking,M,,N,White shark
jul,2017,USA,Swimming,M,46,N,Bull shark
jul,2017,MEXICO,Fishing,M,32,N,Tiger shark
jul,2017,SOUTH AFRICA,Surfing,F,13,N,White shark
jul,2017,COMOROS,Fishing,,,,
jun,2017,USA,Fishing,M,,,No shark
jun,2017,USA,Swimming,F,16,N,
jun,2017,USA,Surfing,M,,N,
jun,2017,USA,Swimming,F,14,N,Bull shark
jun,2017,REUNION,Body boarding,M,34,N,Bull shark
jun,2017,SPAIN,Swimming,M,82,N,
,2017,FRENCH POLYNESIA,Surfing,M,,N,
jun,2017,BAHAMAS,Feeding sharks,F,,N,
jun,2017,AUSTRALIA,Body boarding,M,48,N,White shark
jun,2017,AUSTRALIA,Surfing,F,,N,gill shark
jun,2017,USA,Surfing,M,19,N,
jun,2017,UK,Surfing ,M,30,N,
jun,2017,USA,Spearfishing,M,,N,
jun,2017,BAHAMAS,Snorkeling,F,32,N,Tiger shark
may,2017,USA,Touching a shark,F,20,N,
may,2017,USA,Feeding sharks,M,,N,Tiger shark
may,2017,AUSTRALIA,Fishing ,M,73,N,
may,2017,UNITED ARAB EMIRATES,Spearfishing,M,41,N,
may,2017,AUSTRALIA,Attempting to lasso a shark,M,29,N,
may,2017,MEXICO,Snorkeling,M,33,Y,
may,2017,USA,Surfing,F,18,,
apr,2017,USA,Swimming,F,,N,
apr,2017,SOUTH AFRICA,Surfing,M,14,N,
apr,2017,USA,Surfing,F,33,N,
apr,2017,REUNION,Body boarding,M,28,Y,
apr,2017,NEW ZEALAND,Body boarding,F,20,N,
apr,2017,USA,Photo shoot,F,,,No shark
apr,2017,ST HELENA,Snorkeling,F,40,N,
apr,2017,USA,Swimming,M,,,
apr,2017,USA,,,,N,
apr,2017,AUSTRALIA,Surfing,F,17,Y,White shark
apr,2017,USA,Surfing,M,28,N,Tiger shark
apr,2017,USA,Surfing,M,17,N,
apr,2017,USA,Surfing,F,,N,
apr,2017,SOUTH AFRICA,Scuba Diving,M,68,,
apr,2017,USA,Surfing,F,35,N,
apr,2017,USA,Paddle boarding,F,10,N,
apr,2017,USA,Swimming,F,21,N,
apr,2017,USA,Swimming,M,16,N,
apr,2017,USA,Swimming,F,51,N,
apr,2017,AUSTRALIA,Kakaying,M,39,N,
apr,2017,USA,Swimming,F,17,N,Bull shark
mar,2017,USA,Surfing,M,58,N,
mar,2017,AUSTRALIA,Body boarding,M,30,N,
mar,2017,USA,Kayaking,M,,N,White shark
mar,2017,PHILIPPINES,Spearfishing,M,25,N,
mar,2017,BAHAMAS,Washing hands,M,58,N,Lemon shark
feb,2017,AUSTRALIA,Snorkeling,F,,N,Bull shark
feb,2017,AUSTRALIA,Surfing,M,,N,
feb,2017,REUNION,Body boarding,M,26,Y,
feb,2017,AUSTRALIA,Spearfishing,M,26,N,
feb,2017,USA,Swimming,M,22,N,
feb,2017,BRAZIL,Grabbing shark for a selfie,F,,N,Lemon shark
feb,2017,SOUTH AFRICA,Kayak fishing,M,,N,Tiger shark
feb,2017,USA,Tagging sharks,,,N,White shark
feb,2017,BAHAMAS,Scuba Diving,M,37,N,reef shark
jan,2017,BRAZIL,Swimming,M,21,N,
jan,2017,USA,,M,,N,
jan,2017,AUSTRALIA,Scuba Diving,M,55,N,Bull shark
jan,2017,AUSTRALIA,Swimming,M,57,N,
jan,2017,USA,,M,,N,
jan,2017,INDONESIA,Surfing,M,48,N,Bull shark
jan,2017,USA,Wading,M,47,N,
jan,2017,AUSTRALIA,Wading,M,20,,
dec,2016,USA,Surfing,M,16,N,
dec,2016,AUSTRALIA,Snorkeling,F,,N,small shark
dec,2016,SOUTH AFRICA,Surf skiing ,M,55,N,White shark
dec,2016,AUSTRALIA,Free diving,M,61,N,
dec,2016,FRENCH POLYNESIA,Fishing,M,40,N,
dec,2016,USA,Surfing,M,19,,
dec,2016,AUSTRALIA,Surf fishing,M,20,N,Wobbegong shark
dec,2016,AUSTRALIA,Surfing,M,65,N,White shark
nov,2016,AUSTRALIA,Fishing,M,73,N,sevengill shark
nov,2016,USA,Floating,F,58,N,Tiger shark
oct,2016,USA,Surfing,M,41,N,
oct,2016,USA,Surfing,M,42,N,
oct,2016,AUSTRALIA,Surfing,M,36,N,
oct,2016,USA,Surfing,M,36,N,
oct,2016,AUSTRALIA,Surfing,M,,N,
oct,2016,USA,Snorkeling,F,66,N,
oct,2016,MEXICO,Cage Diving,M,,,White shark
oct,2016,AUSTRALIA,Surfing,M,25,N,
oct,2016,USA,Surfing,M,29,N,
oct,2016,USA,Surfing,M,21,N,
oct,2016,USA,Surfng,M,32,N,
sep,2016,AUSTRALIA,Surfing,M,17,N,White shark
sep,2016,USA,Surfing,M,16,N,
sep,2016,USA,Surfing,M,36,N,
sep,2016,USA,Surfing,M,43,N,
sep,2016,USA,Surfing,M,43,N,
sep,2016,AUSTRALIA,Surfing,M,,N,
sep,2016,AUSTRALIA,Surfing,M,,N,
sep,2016,AUSTRALIA,Fishing,,,N,
sep,2016,USA,Wading,M,60,N,
sep,2016,USA,Swimming,F,51,N,Tiger shark
sep,2016,NEW CALEDONIA,Kite surfing,M,50,Y,
sep,2016,USA,Boogie boarding,F,12,N,
sep,2016,AUSTRALIA,Surfing,M,,N,
sep,2016,USA,Body boarding,M,9,N,
sep,2016,USA,Spearfishing,M,22,N,White shark
,2016,MEXICO,Cage Diving,,,,
aug,2016,USA,Surfing,M,25,N,Bull shark
aug,2016,USA,Surfing,M,37,N,
aug,2016,REUNION,Surfing,M,20,N,Bull shark
aug,2016,USA,Wading,M,49,N,
aug,2016,BAHAMAS,Snorkeling,M,15,N,
aug,2016,USA,SUP Foil boarding,M,21,N,Tiger shark
aug,2016,USA,Surfing,M,22,N,Blacktip shark
