Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Species
jun,2018,USA,Paddling,F,57,N,White shark
jun,2018,MEXICO,Free diving,M,,N,Tiger shark
jun,2018,BRAZIL,Swimming,M,18,Y,Tiger shark
may,2018,USA,Fishing,M,52,N,Lemon shark
may,2018,USA,Walking,M,15,N,Bull shark
may,2018,AUSTRALIA,Feeding sharks,M,32,N,Reef shark
,2018,AUSTRALIA,Feeding sharks,F,34,N,Nurse shark
apr,2018,COSTA RICA,Scuba diving,M,30,N,Tiger shark
apr,2018,AUSTRALIA,Surfing,M,,N,White shark
apr,2018,MALDIVES,Fishing,M,32,N,Tiger shark
apr,2018,SOUTH AFRICA,Paddle-skiing,M,33,N,White shark
apr,2018,THAILAND,Swimming,M,54,N,Bull shark
apr,2018,BAHAMAS,Surfing,M,,N,Tiger shark
apr,2018,BAHAMAS,Swimming,M,12,N,Bull shark
apr,2018,SOUTH AFRICA,Surfing,M,19,N,White shark
mar,2018,USA,Stand-Up Paddleboarding,M,25,N,Tiger shark
mar,2018,AUSTRALIA,Wading,M,10,N,Wobbegong shark
feb,2018,SOUTH AFRICA,Scuba Diving,M,38,N,Blacktip shark
feb,2018,AUSTRALIA,Swimming,F,55,N,White shark
feb,2018,AUSTRALIA,Walking,M,35,N,Bull shark
jan,2018,AUSTRALIA,,M,18,N,Bull shark
jan,2018,NEW CALEDONIA,Spearfishing,M,40,N,Bull shark
jan,2018,AUSTRALIA,Diving,M,,N,Reef shark
jan,2018,AUSTRALIA,Free diving,M,28,N,White shark
jan,2018,BRAZIL,Surfing,M,20,N,Unidentified Shark Type
jan,2018,AUSTRALIA,Surfing,M,,N,Wobbegong shark
dec,2017,USA,Surfing,F,54,N,Tiger shark
dec,2017,MALAYSIA,Fishing / Wading,M,24,N,Nurse shark
dec,2017,BAHAMAS,Snorkeling,F,25,N,Nurse shark
nov,2017,COSTA RICA,Scuba Diving,M,26,N,Tiger shark
nov,2017,COSTA RICA,Scuba diving,F,49,Y,Tiger shark
nov,2017,USA,Spearfishing,M,25,N,White shark
nov,2017,CUBA,Night bathing,M,22,Y,Tiger shark
oct,2017,AUSTRALIA,Surfing,M,31,N,Wobbegong shark
oct,2017,AUSTRALIA,Kayaking / Fishing,F,15,N,White shark
oct,2017,USA,Swimming,M,,N,Spinner shark
oct,2017,USA,Surfing,M,54,N,Tiger shark
sep,2017,AUSTRALIA,Surfing,M,,N,White shark
,2017,AUSTRALIA,Fishing,,,N,White shark
sep,2017,AUSTRALIA,Surfing,M,35,N,White shark
sep,2017,USA,Swimming,M,,N,Nurse shark
aug,2017,AUSTRALIA,Surfing,M,37,N,White shark
aug,2017,USA,SUP,M,69,N,White shark
aug,2017,USA,Swimming,M,13,N,Blacktip shark
aug,2017,EGYPT,Snorkeling,F,20,N,Whitetip shark
aug,2017,USA,Kayaking / Fishing,M,,N,White shark
jul,2017,USA,Swimming,M,10,,Unidentified Shark Type
jul,2017,SPAIN,Swimming,F,,N,Blue shark
jul,2017,USA,,F,40,N,Unidentified Shark Type
jul,2017,USA,Kayaking,M,40,N,White shark
jul,2017,USA,SUP,M,50,N,White shark
jul,2017,USA,Surfing,M,,N,White shark
jul,2017,USA,Kayaking,M,,N,White shark
jul,2017,USA,Swimming,M,46,N,Bull shark
jul,2017,MEXICO,Fishing,M,32,N,Tiger shark
jul,2017,SOUTH AFRICA,Surfing,F,13,N,White shark
jun,2017,USA,Swimming,F,14,N,Bull shark
jun,2017,REUNION,Body boarding,M,34,N,Bull shark
jun,2017,AUSTRALIA,Body boarding,M,48,N,White shark
jun,2017,BAHAMAS,Snorkeling,F,32,N,Tiger shark
may,2017,USA,Feeding sharks,M,,N,Tiger shark
apr,2017,AUSTRALIA,Surfing,F,17,Y,White shark
apr,2017,USA,Surfing,M,28,N,Tiger shark
apr,2017,USA,Swimming,F,17,N,Bull shark
mar,2017,USA,Kayaking,M,,N,White shark
mar,2017,BAHAMAS,Washing hands,M,58,N,Lemon shark
feb,2017,AUSTRALIA,Snorkeling,F,,N,Bull shark
feb,2017,BRAZIL,Grabbing shark for a selfie,F,,N,Lemon shark
feb,2017,SOUTH AFRICA,Kayak fishing,M,,N,Tiger shark
feb,2017,USA,Tagging sharks,,,N,White shark
feb,2017,BAHAMAS,Scuba Diving,M,37,N,Reef shark
jan,2017,AUSTRALIA,Scuba Diving,M,55,N,Bull shark
jan,2017,INDONESIA,Surfing,M,48,N,Bull shark
dec,2016,AUSTRALIA,Snorkeling,F,,N,Unidentified Shark Type
dec,2016,SOUTH AFRICA,Surf skiing ,M,55,N,White shark
dec,2016,AUSTRALIA,Surf fishing,M,20,N,Wobbegong shark
dec,2016,AUSTRALIA,Surfing,M,65,N,White shark
nov,2016,USA,Floating,F,58,N,Tiger shark
oct,2016,MEXICO,Cage Diving,M,,,White shark
sep,2016,AUSTRALIA,Surfing,M,17,N,White shark
sep,2016,USA,Swimming,F,51,N,Tiger shark
sep,2016,USA,Spearfishing,M,22,N,White shark
aug,2016,USA,Surfing,M,25,N,Bull shark
aug,2016,REUNION,Surfing,M,20,N,Bull shark
aug,2016,USA,SUP Foil boarding,M,21,N,Tiger shark
aug,2016,USA,Surfing,M,22,N,Blacktip shark
jul,2016,SPAIN,Swimming,M,40,N,Blue shark
jul,2016,AUSTRALIA,Kayaking,M,,N,White shark
jul,2016,USA,Lobstering,M,43,N,Nurse shark
jul,2016,BAHAMAS,Spearfishing,M,,N,Bull shark
jul,2016,AUSTRALIA,Fishing,M,31,N,Reef shark
jul,2016,USA,Fishing in Alabama Deep Fishing Rodeo,,,N,Tiger shark
jul,2016,USA,Kite surfing,M,61,N,White shark
jul,2016,BAHAMAS,Scuba Diving,M,,N,Lemon shark
jul,2016,USA,Fishing for squid,M,,N,White shark
jul,2016,USA,Fishing for sharks,M,,N,White shark
jul,2016,AUSTRALIA,Fishing,M,34,N,Nurse shark
jun,2016,COLUMBIA,Scuba Diving,M,59,N,Reef shark
jun,2016,SOUTH AFRICA,Spearfishing,M,43,N,White shark
jun,2016,EGYPT,Swimming,M,23,N,Mako shark
jun,2016,AUSTRALIA,Spearfishing,M,,,Whaler shark
may,2016,AUSTRALIA,Surfing,M,29,Y,White shark
may,2016,USA,Swimming,F,22,N,Bull shark
may,2016,USA,Swimming,M,48,N,Blacktip shark
may,2016,USA,Teasing a shark,F,23,N,Nurse shark
may,2016,NEW ZEALAND,Fishing,M,39,N,Mako shark
apr,2016,INDONESIA,Surfing,M,24,N,Bull shark
apr,2016,SOUTH AFRICA,Surf-skiing,M,,N,White shark
apr,2016,AUSTRALIA,Swimming,M,12,N,Wobbegong shark
apr,2016,FRENCH POLYNESIA,Spearfishing,M,22,,Reef shark
apr,2016,FRENCH POLYNESIA,Spearfishing,M,26,N,Reef shark
apr,2016,USA,Spearfishing,M,26,N,Bull shark
apr,2016,NEW CALEDONIA,Walking,F,69,Y,Tiger shark
mar,2016,BAHAMAS,,M,9,N,Nurse shark
jan,2016,USA,Surfing,M,,N,Reef shark
jan,2016,USA,Spearfishing,M,,N,Bull shark
jan,2016,UNITED ARAB EMIRATES,Fishing,M,,N,Mako shark
jan,2016,USA,Paddle boarding,M,48,N,Tiger shark
jan,2016,AUSTRALIA,Surfing,M,,N,Wobbegong shark
jan,2016,AUSTRALIA,Wading,M,11,N,Blacktip shark
dec,2015,SOUTH AFRICA,Kayak Fishing,M,,N,White shark
dec,2015,AUSTRALIA,Surfing,M,43,N,Whaler shark
dec,2015,BRAZIL,Scuba diving,M,32,N,Tiger shark
dec,2015,AUSTRALIA,Fishing,,,N,White shark
dec,2015,BAHAMAS,Lobster fishing,M,26,N,Bull shark
nov,2015,USA,Surfing,M,28,N,Spinner shark
nov,2015,AUSTRALIA,Surfing,M,20,N,Bull shark
oct,2015,SOUTH AFRICA,Surfing,M,42,N,White shark
oct,2015,USA,Surfing,M,21,N,Spinner shark
oct,2015,USA,Swimming,M,44,N,Tiger shark
oct,2015,USA,Surfing,M,25,N,Tiger shark
oct,2015,USA,Surfing,M,14,N,Blacktip shark
sep,2015,USA,Surfing,M,22,N,Blacktip shark
sep,2015,USA,Kayak fishing,M,,N,White shark
sep,2015,USA,Spearfishing,M,27,N,Tiger shark
sep,2015,USA,Kayak Fishing,M,,N,Hammerhead shark
sep,2015,USA,Stand-Up Paddleboarding,F,50,N,White shark
sep,2015,USA,Kayak Fishing,M,29,N,Hammerhead shark
sep,2015,AUSTRALIA,Surf-skiing,M,62,N,White shark
sep,2015,THAILAND,Wading,F,37,N,Unidentified Shark Type
,2015,FIJI,Spearfishing,M,,N,Tiger shark
